5
20 15
200 204 204
400 212 179
100 43 352
200 397 399
100 183 326
200 380 179
200 331 331
100 250 293
100 333 342
200 125 125
200 376 156
200 222 222
200 390 390
100 351 46
400 344 173
300 165 112
200 146 280
200 257 237
100 4 171
100 312 68
300 146 291
200 147 111
200 346 295
100 318 56
400 99 325
100 163 288
400 286 320
100 101 195
100 52 349
100 25 127
100 244 253
100 394 236
300 95 95
400 210 358
100 120 373
200 211 159
200 164 279
400 87 377
100 246 356
300 203 171
100 87 12
400 46 56
200 31 18
100 241 355
200 304 304
200 25 292
200 360 360
300 301 365
100 53 11
300 254 378
200 348 139
200 86 164
400 183 326
200 267 267
200 195 236
400 386 242
100 27 120
300 250 277
400 101 394
200 162 390
200 334 334
400 208 54
100 344 383
200 148 118
200 182 388
100 169 178
100 14 385
400 218 55
100 389 234
400 299 34
300 75 273
300 190 190
200 169 215
200 35 35
200 356 246
200 211 211
100 149 200
100 125 12
400 201 115
200 175 175
100 345 309
200 333 333
300 370 130
100 106 186
300 271 271
100 148 118
200 326 326
100 148 363
400 319 248
100 358 341
200 174 228
300 243 349
400 41 119
200 199 187
200 72 273
100 267 11
200 5 358
300 25 25
100 371 271
200 316 82
200 300 82
200 26 26
100 62 20
300 30 133
200 120 79
200 222 222
100 173 119
300 238 238
200 109 335
100 339 101
100 180 27
200 369 302
100 271 368
300 50 50
100 269 161
100 195 236
200 95 95
400 299 216
100 338 314
100 121 168
100 69 124
200 362 18
100 91 185
300 186 312
100 344 383
100 357 164
100 395 290
100 345 97
200 366 50
200 204 88
200 178 165
400 39 28
200 180 188
100 265 164
400 88 25
200 360 277
200 59 22
200 307 331
400 189 324
100 227 315
100 301 388
100 142 75
100 115 24
100 118 103
400 393 331
100 7 260
100 328 219
400 137 243
100 234 389
200 364 202
100 362 397
200 137 291
300 288 84
300 17 17
400 192 44
300 263 34
200 183 183
100 381 123
300 347 209
100 311 164
100 9 217
200 382 119
100 294 231
200 340 340
400 299 122
100 322 216
200 232 232
100 223 137
200 393 83
100 248 152
200 138 193
200 191 383
300 320 115
100 336 250
200 323 323
200 194 197
100 342 111
100 265 357
300 387 387
200 138 138
200 142 312
200 323 343
100 274 316
100 81 298
200 351 351
200 122 222
300 191 342
400 94 163
200 139 139
300 1 1
200 331 331
100 184 167
300 168 121
200 104 186
300 184 184
100 173 382
200 225 225
200 29 103
100 218 55
100 83 393
400 109 335
200 107 213
200 375 220
100 397 18
400 199 47
400 22 21
100 365 259
100 262 239
100 340 353
1000 10000
100 4923 7471
200 476 9206
100 8288 3962
100 8419 7490
100 5495 9728
200 6455 9620
200 3987 6548
100 8110 7951
200 2157 2102
100 2942 7982
200 303 8184
200 8033 5967
100 658 4041
100 86 618
100 1582 2032
200 1220 1051
100 4144 416
200 7141 9019
100 2754 2888
100 5854 6943
200 8497 2220
100 3481 1977
200 460 4159
200 6804 4024
200 1697 862
100 9697 3770
200 9727 360
200 2401 9249
200 6612 437
200 9677 6381
200 3588 4498
100 2806 6024
200 5356 5630
100 197 4907
100 4375 6205
200 7464 2953
100 1684 1958
100 999 8711
200 5514 1741
200 7008 1229
100 6070 7469
200 4067 4936
100 3957 4494
100 3258 4864
100 6857 7158
200 2307 1146
200 3535 2137
100 3366 883
200 1225 3735
100 5569 3382
100 3223 9646
100 6022 3844
100 2288 204
200 9626 9161
100 4324 2984
200 7709 2074
100 8357 1127
200 4688 4799
200 577 1677
100 5081 742
100 2170 4328
200 4078 4441
200 957 3865
200 5869 1963
200 5096 1221
200 7058 2614
200 4581 6393
100 9925 7086
200 7054 3718
100 414 5772
200 5607 1492
100 9035 6008
200 9741 100
200 6592 9702
200 3713 4491
100 1613 5863
200 103 1896
100 9069 5671
100 161 5375
200 1260 3943
200 6266 502
200 2931 7087
100 7567 1911
200 449 5882
100 3186 1444
100 1976 6522
200 1798 346
200 1301 1089
200 5004 5384
200 8645 9083
200 8710 1157
100 2042 2907
100 5902 390
100 9956 3461
100 6340 5897
100 5103 7856
200 7769 6850
200 5965 1470
200 8630 5264
100 5978 7746
100 6495 8082
200 3076 1829
100 493 6775
100 5083 1525
200 5523 5931
200 4040 7787
100 982 6347
200 5939 2734
100 2538 7806
100 405 6331
100 4331 5336
100 8427 3346
200 7966 3725
100 3075 9150
100 3431 3554
200 7156 6582
100 5386 4493
100 2352 9021
100 8877 8158
100 1965 8283
100 3003 9705
100 3000 2404
200 1668 4571
200 645 8472
100 9308 6382
200 3467 3404
200 2531 5561
100 3985 33
200 9303 977
200 5200 2228
200 6122 6631
200 9650 1014
200 4374 6961
200 3737 4742
100 2149 6210
200 7473 2248
200 3947 2950
200 8636 6431
200 5289 9082
100 1571 888
200 138 1999
200 5077 2406
200 3997 114
200 1691 9112
200 746 3898
100 4635 5591
100 5232 3007
100 7574 5078
200 9279 7386
200 4211 4921
200 885 7460
200 9650 9650
200 3789 3789
200 6496 8881
400 2950 3947
300 9639 9639
200 4885 4885
200 3876 1123
300 7472 5354
300 3073 2329
300 9740 9740
100 3737 4742
200 183 8235
100 6824 1221
300 4390 7354
200 9254 6198
400 9993 9872
200 6757 1058
200 6863 6610
400 3240 6676
200 837 8239
100 5056 5965
300 5131 3494
100 2122 6961
200 8533 1852
100 6344 9650
100 7966 3725
200 5949 5700
200 6746 6746
400 6431 8636
200 7536 4773
100 8179 4613
100 885 7460
200 8647 8647
400 476 9206
100 1030 8401
200 4955 4955
100 6198 9254
100 5355 7064
100 183 8235
100 1677 577
100 1014 9916
200 8773 1327
400 2803 8892
100 2119 2676
400 6850 6902
300 1407 7348
300 2886 2592
100 1301 1089
200 3982 8364
400 379 706
100 9131 7579
100 3378 4633
300 3741 3741
200 8691 368
100 8478 8772
200 8093 8093
100 9647 3148
100 5038 4549
400 5514 1741
200 6725 6725
200 8994 1468
200 6776 6776
400 8184 303
200 122 8477
100 8630 5264
300 4416 4416
100 9677 6381
100 8119 8235
400 3404 3467
200 3961 3961
200 3793 9716
100 8691 368
200 3474 4520
300 6034 7005
100 506 1221
200 5183 262
100 7820 9226
100 8123 262
100 2953 7464
100 4498 3588
400 2950 3947
100 8710 1157
100 7802 4800
200 261 7034
300 6646 8512
200 1133 3102
200 5496 5496
400 2614 7058
100 2354 2996
100 1492 5607
400 6612 437
100 2220 8497
400 9556 4121
100 5780 652
200 5155 2940
200 8962 3053
400 114 3997
200 9349 6145
100 1777 7043
200 6023 6023
200 2030 2030
400 6245 7939
200 3247 4370
100 1703 2009
200 8745 8149
200 7450 5826
100 8595 7671
200 563 563
100 5160 9527
100 2234 226
300 9753 9753
200 2798 5444
400 3224 28
400 413 4777
100 9925 7407
200 3673 3673
200 1645 3315
200 2986 1124
100 499 3535
300 3116 3116
100 7598 2452
100 1327 8773
100 1677 577
100 577 1677
400 9709 2622
300 1431 9253
200 7897 2153
100 2926 2056
300 7910 7910
200 4280 4280
200 6725 6725
200 3688 833
300 2850 1101
100 5230 9620
400 8149 8745
300 6363 9908
200 9491 1604
400 437 6612
100 4854 5537
300 6626 6626
300 978 1635
100 6406 2498
400 2307 1146
100 5607 1492
300 7748 7748
200 6862 6862
300 8408 8408
200 4785 3130
100 7665 8077
400 2767 1464
100 1508 9518
100 2444 7618
400 7536 4773
300 1342 1785
200 2376 6581
200 228 228
200 1567 1567
400 8279 5098
400 8533 1852
100 9001 4159
200 4203 4394
100 100 9741
100 8493 6757
100 8691 368
400 7386 9279
100 159 360
100 1852 8533
300 1600 7788
200 1239 1239
400 6548 3987
200 120 120
200 1002 1002
400 5260 4338
100 2673 5996
200 7060 716
200 4428 2312
200 3029 261
100 2290 6019
200 4600 3061
100 6245 3076
300 5566 5566
100 737 1999
100 1668 4571
400 9741 100
100 1437 4799
200 2767 6942
100 6612 437
200 4593 3278
200 3328 3328
300 4380 4380
100 2137 3535
200 7224 1952
100 5074 7657
200 3744 3744
200 6278 5714
400 9862 1154
100 5700 5949
100 346 1798
200 4166 1063
200 3562 3562
200 301 301
300 2491 7275
200 5608 5608
100 5230 6455
100 6978 4805
100 9143 6448
100 8636 6431
200 4321 4321
100 4275 9738
100 6909 1014
200 3853 1253
100 4111 1595
200 1123 8043
300 284 284
200 1071 1071
100 2052 317
100 3979 8828
100 2953 3057
100 4233 8309
200 7489 8369
100 6381 3760
400 1519 9458
300 2517 2517
400 5949 5700
200 7236 7236
300 1099 7316
100 2053 491
100 548 3437
100 7450 5826
200 9262 4430
100 7303 3252
200 4807 9576
100 5153 8275
100 7787 4040
100 4699 9179
200 2185 3209
200 7219 7219
200 1735 1735
100 3826 8156
300 7105 2859
200 6266 2471
200 7163 1100
100 138 1999
200 8982 8982
400 9325 4822
200 7704 7704
200 5583 9775
400 6483 733
200 674 674
100 5546 7075
100 1847 6198
200 421 799
300 3225 3763
200 6935 3925
300 2158 1768
200 4250 927
100 7054 3718
200 8463 8807
100 1045 4773
200 2518 2518
100 3869 1668
200 4696 4696
100 2406 5077
300 1391 1863
400 1867 1638
300 8819 2899
300 1636 3678
300 3986 3986
300 2940 2940
100 1607 3615
100 8453 4529
100 2220 8497
300 5262 5262
300 1771 340
400 5607 1492
200 6165 1184
100 5967 8033
100 6617 6511
300 9030 5698
100 5714 6278
100 9753 2973
100 2775 3943
200 9982 271
200 2465 3626
100 1578 1415
100 7450 5826
200 42 42
100 7100 1566
100 1828 9944
200 5909 8207
400 1051 1220
300 8140 8140
100 2739 6158
100 2033 5253
300 6365 6365
200 2034 2034
300 3939 1276
200 3412 5202
200 4964 3819
100 2382 5266
100 2740 4719
400 517 7969
100 3815 1105
100 9576 4807
300 6204 6204
200 8634 5748
400 9926 3407
100 8004 2261
400 9775 5583
200 1543 1543
300 7098 7098
100 2866 46
300 8009 8009
300 8770 8770
300 8429 2159
100 1978 6967
200 9691 2839
200 6737 6737
100 7008 1229
200 2611 2611
300 6324 6324
200 3810 3810
100 2775 1260
200 2987 7926
400 6447 323
200 5657 9857
100 4558 2274
200 5789 5789
200 8083 6082
200 509 2412
400 1184 6165
200 3009 3089
200 2257 9481
100 9741 100
100 2767 6942
100 6348 8717
200 7434 7434
300 48 48
300 4645 1609
200 3798 8491
400 9001 460
300 2098 2276
100 8883 7069
400 9197 4539
400 1522 9186
200 9379 9379
400 3793 9716
200 6537 3762
200 5564 2237
200 3715 4912
200 6827 6827
300 5320 5320
200 1396 3573
200 1616 1715
300 56 1186
100 6128 9180
200 8406 8406
100 7087 60
400 4040 4346
200 2594 7795
200 1360 1360
200 1382 1382
100 9702 6592
100 7386 9279
300 8827 8827
400 1026 940
200 8452 6183
400 3671 5244
300 2663 2663
300 5513 5513
100 3315 1645
100 9424 8970
200 8458 3693
100 7926 2987
100 4409 2059
200 8788 6431
100 968 8477
200 9234 2800
400 2228 5200
200 8070 5966
400 3009 3089
200 4406 7401
300 1003 1003
200 7515 4264
100 8184 303
100 3730 8481
400 5012 7499
100 9 6356
100 9092 476
100 5939 2734
200 3987 4603
200 2843 2843
400 1100 7163
200 6423 1747
400 3760 9677
100 3386 6805
300 1622 7272
400 2406 5077
200 265 265
100 2257 1946
100 4854 2405
100 6561 7279
300 1445 445
100 6399 6690
100 460 4159
300 8880 1254
200 1759 1759
200 6479 6479
100 9760 3693
400 2050 3596
200 1804 1804
200 193 193
200 9919 5240
200 9317 4957
400 3130 4785
400 2072 5473
200 1124 9503
400 6564 7440
100 2228 5200
200 7423 7811
200 4602 4602
200 4841 5906
300 4539 4056
200 7299 1308
100 8556 5060
100 1220 1051
200 1427 8323
100 6532 9942
200 9171 553
200 6343 6343
200 1265 805
100 6989 4688
200 5300 9900
200 1542 4081
100 3029 261
100 6610 575
100 7604 9756
100 8458 3693
100 3129 9374
200 3106 3106
200 6367 2626
200 2194 6597
100 1225 3735
100 7163 1100
100 444 3720
100 7423 7811
300 4224 1814
200 6090 6090
200 4057 8247
300 4683 4683
100 5200 2228
200 1483 7273
100 7156 6582
100 5931 5523
200 4581 4581
200 4978 4978
100 3688 833
200 5267 2397
300 4719 2740
300 4985 4985
100 1852 8533
400 8434 3048
200 7887 7887
300 5815 3213
200 3722 9983
300 1823 1823
200 8420 8420
100 2194 6597
100 7224 1952
200 3388 2395
200 3754 3754
400 7234 8387
400 7199 8429
100 37 4846
300 3187 9938
100 4029 8064
400 503 6971
200 6464 6992
400 4196 8671
200 8648 3063
200 6123 6123
100 8458 9760
200 975 4352
100 7087 2931
400 6790 8192
200 5699 5699
400 5504 437
100 509 2412
300 965 965
300 531 531
400 8364 9029
200 764 5237
200 1218 1218
200 5355 7064
200 7622 8643
100 9061 5705
100 9716 5115
200 9433 7623
200 3953 9388
100 431 2880
100 5379 5237
200 1654 8379
400 2673 8927
200 8937 9893
200 5349 5349
300 1406 1406
200 7331 7331
100 6199 3610
200 7840 6304
200 3683 3683
100 6118 3909
100 5800 8496
300 8344 8344
400 9680 8197
100 1715 1616
200 8038 9042
100 4804 6205
200 5412 5412
400 9943 5919
400 5762 5816
100 77 1896
300 8546 1295
200 5426 7038
400 2311 5385
200 4998 3808
100 3668 8490
200 966 880
100 8337 8657
100 4993 3404
100 6464 6992
300 967 967
400 3625 9545
200 3262 3262
400 6145 9349
200 12 2198
100 77 103
200 6127 208
100 2464 4492
100 8186 3919
200 639 3807
200 4348 4348
100 2198 12
200 8186 8186
200 1771 9613
100 7023 4088
100 6423 1747
300 7936 6100
200 7561 7561
200 8738 8738
100 1817 4961
100 3247 4370
100 266 691
100 5786 5897
400 6612 437
300 7731 7246
100 1925 5177
200 36 6299
100 5514 1741
100 3161 1361
100 9083 8645
400 4057 8247
100 3819 4964
100 5607 1492
200 121 3443
200 8437 7952
400 2220 8497
300 7710 7710
100 1427 8323
200 831 831
100 8379 1654
200 3370 5393
100 8155 5833
300 791 791
300 5526 5526
300 5003 9
100 4266 7811
100 4571 3869
200 1202 5157
200 1855 1855
200 5522 5522
100 8994 1468
400 1220 1051
400 9379 1908
200 1389 8796
200 6558 6558
300 1898 1898
200 7105 8123
300 2306 5936
200 6733 6733
300 7463 7463
100 9206 9092
400 8643 7622
400 3009 3089
200 5210 49
100 1741 5514
100 6520 4040
400 1058 6757
400 1604 9491
200 4296 2930
200 6882 7781
200 9639 9639
200 8967 8967
200 6898 6898
200 570 4347
100 7531 666
400 3807 639
100 3735 1225
300 5926 6927
100 4381 9764
200 289 289
100 4728 5038
100 4662 3135
200 3825 3443
200 7651 8702
400 1124 9503
300 8435 8435
400 4498 3588
100 896 6241
100 1396 3573
400 6658 1955
100 3250 3078
100 1058 6757
100 2791 7767
200 3692 3692
200 790 790
200 8397 5044
200 8202 4522
100 502 6266
100 9939 9741
300 7168 7168
200 7683 7846
200 6728 6728
400 1798 346
200 1097 1841
300 6087 1688
200 5246 1158
300 7253 7253
200 310 9634
300 6757 6757
100 1089 1301
200 3272 3051
400 3152 8933
200 3559 1175
100 8202 4522
200 236 9811
300 9515 1461
200 2592 8365
100 520 9262
100 5076 3968
100 6746 1119
400 8962 3053
100 3997 114
100 421 799
200 9353 1744
400 5949 5700
200 6357 3103
200 9702 394
100 3853 1253
100 9924 2992
400 7677 2244
200 6897 6897
300 4062 4062
200 429 3975
300 7555 2469
300 8253 2969
400 2065 4777
100 8122 3009
100 5660 2944
300 1644 1644
200 7066 478
300 437 437
100 9900 5300
100 9269 7560
100 6612 437
300 729 729
200 9034 9417
400 1051 1220
300 5913 5913
200 4788 2666
200 2393 1274
400 8149 6836
200 8285 155
200 3676 9162
100 2473 8103
200 2979 1095
100 5755 910
100 3315 1645
100 4107 2815
100 545 859
100 9548 8578
200 9789 3294
100 8125 9727
200 3689 3212
100 8491 3798
100 3102 1133
200 6540 6210
200 5609 5609
100 122 8477
100 3063 8648
100 7498 3975
200 6453 6453
200 1862 6958
100 1604 9491
300 4348 5428
100 5115 3793
200 8596 2726
100 4406 5004
200 2997 9070
100 3895 2814
400 2085 6539
200 9399 7918
200 5908 2607
200 4138 2994
400 230 5852
200 5040 9058
200 5710 9089
100 389 8630
400 3689 3212
100 6882 7781
100 3586 5779
300 3558 3558
100 519 5131
200 3759 9217
200 8084 5776
400 1902 8074
100 7784 2422
300 6350 6257
200 8477 8477
200 9940 5239
100 4754 153
200 6036 6036
200 2885 7007
100 5272 2068
300 9907 9907
100 7918 9399
100 4505 9681
300 4228 6328
200 1593 57
200 5229 5229
200 9610 1859
200 5993 1405
100 7769 6850
400 7224 1952
300 7692 9471
300 9283 9283
400 2800 9234
200 3832 3832
200 6017 8607
200 1134 2336
100 4771 8054
100 3688 833
100 2463 5714
100 5666 7396
200 7674 4667
200 6102 6102
200 9765 9765
100 8447 168
200 6573 6573
200 2246 4950
200 2124 2124
100 7066 478
300 9304 9304
100 8745 8149
200 9200 6889
300 3543 3543
400 6423 1747
200 9161 9161
200 497 497
200 9349 8297
200 8878 6140
100 8678 7533
400 122 8477
100 611 3610
200 5978 5978
300 3987 3987
300 2774 2774
200 2870 4931
100 8477 4020
100 9739 7851
200 9473 9473
100 6808 9613
200 2298 8066
200 3231 3231
100 5228 2183
300 6331 5623
200 5695 2481
300 4097 6887
200 2737 8255
200 3288 8968
200 5923 5923
200 5039 5039
300 4055 4055
200 1522 7040
100 8980 8837
100 8810 8843
200 3724 3724
200 6490 5744
100 8845 5157
100 2930 4296
200 4510 4510
200 251 9762
200 6254 6757
100 4580 2307
100 3997 114
100 6873 3517
300 3871 7775
100 2839 9691
400 2636 4172
100 645 8472
200 8990 8990
100 9535 292
400 2312 4428
100 4157 3369
300 7893 9482
200 9677 5943
300 5708 5708
100 9204 2633
200 8512 8512
200 5124 5124
100 1852 8533
200 8454 5159
100 1393 9097
100 1852 8533
400 8170 2619
300 4025 2906
200 6034 5362
100 2594 7795
300 2749 2295
200 1168 1168
100 4380 7587
100 3723 2482
200 2874 2630
100 5289 9082
300 8885 8885
100 6247 347
100 9665 7191
300 8036 8036
300 3630 2456
400 5280 7647
200 5918 3761
100 3810 7019
200 9079 9079
300 215 3421
100 2153 7897
100 6955 3859
400 2153 7897
400 3214 8746
100 1134 2336
300 4552 4552
